Greek	διαφορετικούς

Hebrew	באַאײַנפֿלוסן

Arabic	واماندگی

Devanagari	ख़ारिज करना

Amharic	ኣኹ

Cyrillic	поколење

Thai	สำนักงานเทศบาลนคร

Han	內勿
Han	直接融資

Georgian	ასომთავრული

Ogham	ᚉᚐᚈᚈᚒᚃᚃᚔᚏᚏ

Japanese	引っつれる

CanadianAboriginal	ᑐᓐᖓᓱᒋᑦ ᓄᓇᕗᒥ ᒪᓕᒐᓕᐅᕐᕕᖕᒧᑦ
CanadianAboriginal	ᑲᑎᒪᔾᔪᑎᒃᓴᑦ

Cherokee	ᎠᎦᏙᎲᏒᎠᏍᏆᎾᎪᏗᏍᎩ

Syriac	ܢܘܢܐ

Coptic	ⲙⲉⲛⲧⲟⲩⲱⲓ
Coptic	ⲡⲣⲏⲧ

Vai	\uA602\uA51E\uA544\uA526\uA556
Vai	ꕀ

Limbu	ᤆᤫᤠ᤹ᤸ

OldItalic	𐌇𐌀𐌓𐌉𐌊𐌀𐌔𐌕𐌉𐌕𐌄𐌉𐌅𐌀///𐌉𐌐

Tifinagh	ⵜⵉⴼⵉⵏⴰⵖ

Avestan	

LinearB	𐁁𐀓𐀠𐀴𐀍

Kayah_Li	ꤊꤢ꤬ꤛꤢ꤭ ꤜꤟꤤ꤬

Deseret	𐐐𐐄𐐢𐐆𐐤𐐝 𐐓𐐅 𐐜 𐐢𐐃𐐡𐐔

Lydian	𐤬𐤭𐤠
Lydian	𐤬𐤳𐤦𐤭𐤲𐤬𐤩
Lydian	𐤬𐤭𐤦𐤡

Lycian	𐊗𐊕𐊐𐊎𐊆𐊍𐊆

Miao	𖼎𖽐𖽑𖽦𖾔

Nko	ߒߞߏ 
Nko	ߕߟߋ߬ߓߊ߰ߓߟߐߟߐ
Nko	ߓߊ߬ߘߏ߬ߓߊ߬ߘߌߦߊ

Phags_Pa	ꡏꡡꡃ ꡣꡡꡙ ꡐꡜꡞ

Gothic	𐌰𐌼𐌴𐌽𐍁𐌹𐌸𐌰
Gothic	𐌾𐌰𐌷𐍁𐌴𐌼𐌿𐌽𐌸𐌰𐌽

Phoenician	𐤀𐤍𐤊 𐤕𐤁𐤍𐤕 𐤊𐤄𐤍 𐤏𐤔𐤕𐤓𐤕 𐤌𐤋𐤊 𐤑𐤃𐤍𐤌 𐤁𐤍
Phoenician	𐤀𐤋 𐤉𐤊𐤍 𐤋𐤊 𐤆𐤓𐤏 𐤁𐤇𐤉𐤌 𐤕𐤇𐤕 𐤔𐤌𐤔 𐤅𐤌𐤔𐤊𐤁 𐤀𐤕 𐤓𐤐𐤀𐤌

Buginese	ᨕᨒᨚ ᨆᨒᨗᨕᨘ ᨅᨛᨈᨘᨕᨊ
Buginese	ᨅᨔ ᨈᨚ ᨅᨙᨀ 

Shavian	𐑒𐑪𐑯𐑝𐑦𐑒𐑑

Syloti_Nagri	ꠜꠤꠋ ꠢꠦꠍ꠆ꠕ ꠃꠀꠂꠘꠥ

Osmanya	𐒛𐒆𐒖𐒒𐒖𐒔𐒖

Lepcha	ᰕᰫ་ᰊᰪᰰ་ᰆᰧᰶ ᰛᰩᰵ་ᰀᰪᰱ ᰛᰪᰮ་ᰀᰪᰱ
Lepcha	ᰛᰩᰵ་ᰀᰪᰱ

Miao	𖼊𖽺𖾐 𖼣𖽔 𖼊𖽱𖾐 𖼽𖽔𖾑 𖼄𖽻 𖼎𖽐𖽑𖽦𖾑 𖼀𖽱𖾐 𖼐𖽻𖾏

Lisu	ꓟ ꓐꓲꓺ ꓓꓹ
Lisu	ꓢꓲ ꓗꓪ ꓡ ꓢꓴ
Lisu	Ʇꓮꓽ ꓐꓮ ꓟ ꓠꓕ ꓾

Tai_Le	ᥖᥭᥰᥖᥬᥳᥑᥨᥒᥰ 
Tai_Le	ᥘᥛᥳ

Tai_Tham	ᨶᩫ᩠ᨠ

Mandaic	ࡌࡉࡀ

Batak	ᯀᯀᯩᯂ᯲

Tai_Viet	ꪙꪾ꫁

Cham	ꨢ

New_Tai_Lue	ᦓᧄᧉ

Tagbanwa	ᝯᝡ

Hanunoo	ᜧᜨᜳᜫ᜴

Yi	ꀊꆨꌦꇁꃚꁱꂷ
Yi	ꃅꄷꅉꀋꐚꌠ

Tibetan	དབིན་ཇིའི་སྐད།
Tibetan	ཅཻག་སྤྱི་མཐུན་རྒྱལ་ཁབ།

Sinhala	කැනේඩියානු
Sinhala	පෝලන්ත

Lao	ອາແຊກບາຍຊານ
Lao	ເບັງການ

Khmer	ភាសាអាហ៊្សែរបែហ្សង់
Khmer	អូសីតាន់

Myanmar	အယောင်ဆောင်
Myanmar	ဒါကိုတာ

Old_Persian	𐎭𐎠𐎼𐎹𐎺𐎢𐏁
Old_Persian	𐎹𐎠𐏐𐎱𐎢𐏂

Cypriot	𐠀𐠰𐠦𐠡𐠩

Buhid	ᝊᝓᝑᝒᝇ

Lycian	𐊗𐊕𐊐𐊎𐊆𐊍𐊆

Sundanese	ᮃᮊ᮪ᮞᮛ ᮞᮥᮔ᮪ᮓ
